 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135,Mean136,Mean137,Mean138,Mean139,Mean140,Mean141,Mean142
1,1659.847,1011.635,1210.556,1110.885,926.024,1386.140,996.761,992.533,1906.350,687.212,1463.000,880.388,1382.831,1795.310,2250.581,2657.653,1176.245,928.727,1360.279,1580.962,744.222,1385.548,1727.463,928.576,1159.177,1466.538,2375.000,1739.897,3616.875,1569.574,2317.447,3743.941,2655.604,3165.119,3094.294,2295.613,3327.906,2659.022,2945.678,1430.941,1217.188,2136.609,3064.750,2071.016,663.949,681.604,1773.781,1995.151,1517.569,1776.544,1649.114,1939.291,1350.855,3608.931,3648.904,1560.768,1288.164,2237.073,2904.412,1183.013,1767.149,3270.627,5576.587,3691.377,4543.324,2927.810,2828.690,1743.259,1202.216,1428.760,1814.576,1299.708,1793.119,1675.212,873.651,713.701,1965.290,1192.851,1772.614,1492.337,1934.968,1362.030,959.854,571.612,687.634,735.615,2220.460,2689.203,2382.868,3033.159,1247.227,1585.291,2060.113,1524.375,1761.045,1937.038,1752.872,440.946,290.888,410.000,986.600,1055.500,934.881,707.370,1174.610,711.200,932.023,800.418,1570.491,2516.729,2475.193,841.960,883.968,2452.237,2826.722,675.696,566.252,1050.491,1007.450,994.662,1406.044,1722.436,1978.762,2511.093,272.844,644.532,440.660,197.568,557.943,690.932,1249.800,432.391,797.623,800.373,1163.417,765.490,583.429,252.629,400.162,567.029,1629.643,1683.575
2,1404.051,1308.603,1262.289,1289.673,963.732,1456.605,1165.826,825.267,1817.650,686.115,1441.694,1422.412,1692.246,1902.071,2899.753,2669.531,1585.184,1485.114,1450.794,1744.904,959.873,1423.333,2027.298,1470.849,1359.529,1085.513,1797.810,1804.564,4315.982,2050.766,2114.737,3114.809,2379.896,2420.405,3252.794,2504.419,3362.094,2297.391,2819.865,1942.743,1572.478,2827.290,2801.192,1645.857,704.339,688.714,1906.219,1965.012,1165.985,1527.029,1942.716,1582.891,1529.638,3249.431,3992.781,1880.304,1513.836,2415.854,2927.098,1254.533,1874.122,3010.407,5843.630,3776.884,4095.141,3416.881,3520.167,1791.224,1384.317,1509.405,1268.763,1923.989,1775.542,1881.615,1609.047,856.714,1686.113,1685.493,2057.456,1414.622,1643.823,1848.104,913.104,1062.082,508.831,858.404,2443.340,3128.174,3016.290,3092.364,1370.364,1076.800,1177.472,2131.768,2620.955,1746.231,2111.897,582.851,440.875,496.677,1376.622,787.150,1249.429,522.870,1179.951,608.450,408.477,846.701,1560.228,2492.757,2065.176,1194.416,799.674,2710.085,3023.806,487.137,653.189,931.500,1260.825,798.323,1562.789,1883.960,1541.143,2656.267,261.740,524.979,93.962,228.189,303.086,787.898,1325.640,691.000,437.016,733.314,1417.000,981.755,307.964,228.829,322.044,805.229,698.321,974.050
3,1766.932,777.111,1116.644,1232.288,1398.927,1287.628,1408.543,1246.283,2101.383,760.327,1458.327,1025.050,1333.646,2064.667,2406.538,3049.021,1380.673,1195.591,1745.235,1575.885,865.413,1641.929,1947.731,1063.576,1448.961,1999.103,2688.270,2092.590,3605.982,1976.702,2078.868,3014.059,2589.333,3751.595,3286.059,2635.548,3192.887,2007.652,2627.644,2169.683,1769.116,2935.290,3403.461,2661.063,791.373,870.593,1784.953,2123.453,1949.692,1550.221,2177.784,1836.836,1461.319,3517.810,3601.343,2078.428,1192.475,1861.582,3337.863,2048.053,1574.595,3498.966,5816.217,3604.159,4654.873,2733.405,2842.928,2360.828,1503.842,1497.810,1285.763,2144.056,1737.441,1603.923,1450.163,913.961,2198.806,2077.552,2318.404,1634.643,2050.064,2153.060,838.750,814.714,562.746,560.808,2704.140,3441.348,2268.474,3627.000,1348.750,1364.782,1947.566,2610.750,2049.060,2162.058,1542.308,685.203,507.400,542.246,1359.067,1017.925,819.905,905.704,1639.561,695.050,643.955,696.463,1799.404,2232.743,2225.982,1340.495,1023.853,2602.865,3026.222,569.549,649.261,1063.306,1296.588,760.385,1639.944,1926.248,1926.841,2172.651,135.091,567.766,326.302,310.757,278.886,1306.051,1286.800,553.565,631.803,1208.294,1793.167,873.490,835.268,248.271,397.544,781.229,682.786,1508.325
4,1515.288,1105.889,1446.267,1388.846,677.805,1199.163,1211.913,1044.967,2502.567,732.077,1777.306,1453.100,1616.108,2289.452,2698.215,3182.021,1429.265,993.523,1912.323,1492.308,872.016,1549.310,1686.269,2000.727,1419.686,1156.513,2287.921,1596.038,4512.393,2030.957,2204.263,3381.677,2707.062,2981.714,3721.647,2679.968,3315.113,2597.783,2923.949,1783.861,2114.464,3257.623,3250.289,2327.381,933.695,1241.121,2073.125,2286.174,1793.846,1234.353,1909.398,1423.909,1439.290,3621.276,4093.918,1621.089,1905.525,2942.236,2904.255,1724.120,1829.959,3469.322,5701.196,3668.493,4318.549,2414.928,2685.690,2297.293,1323.834,1465.975,1442.661,1657.022,1208.559,2146.135,1017.767,1191.974,1517.532,1683.821,2000.298,1806.327,2036.242,1716.627,1508.062,590.327,1092.549,592.673,2972.820,3365.623,3084.132,3366.386,854.114,1445.782,1869.981,2273.197,2659.045,2249.058,2247.026,847.338,601.662,396.169,813.222,1222.850,1275.595,655.796,1428.390,736.400,819.250,706.045,2142.596,2664.814,2402.351,1196.782,1299.337,2511.390,2227.194,677.294,773.676,818.759,1130.325,1085.785,1741.378,1991.178,2088.413,3351.244,356.558,791.000,572.491,381.081,176.000,671.475,1117.220,569.761,1111.197,880.902,1280.778,922.837,295.268,309.329,530.074,762.714,1410.786,1626.000
5,1543.153,1065.905,793.067,1106.096,1783.927,913.209,755.435,1023.550,2144.733,439.077,1366.429,1292.925,1221.523,1686.857,2248.839,3743.347,1172.939,1427.909,1616.853,1159.096,969.540,1433.310,1952.791,1695.273,1091.216,1503.641,2094.079,1734.885,3756.357,2213.511,1906.737,3494.309,2753.833,3247.000,3704.441,2677.419,3517.057,1920.000,2729.237,2076.842,1340.203,3746.739,3459.250,2216.889,991.636,1021.967,1541.922,2191.640,2099.862,1938.162,1888.625,1696.945,1631.942,3956.224,3465.630,1677.018,1221.361,2211.655,2539.274,2032.120,1358.811,3981.102,6357.565,3485.493,4644.662,3022.190,3352.476,2993.948,1489.799,1379.646,1458.627,2057.843,1162.881,1660.404,1154.233,1226.299,1759.419,1263.776,1846.491,1822.765,1680.081,1956.985,1446.396,793.878,546.169,640.692,3083.740,3495.246,2958.368,4047.386,1243.114,915.109,1470.736,2278.375,2447.836,2497.154,2029.949,937.892,594.800,708.954,1229.711,1106.550,1268.810,382.667,1023.537,609.375,941.545,823.119,1403.281,2021.486,2068.772,1520.446,1164.663,2691.407,3048.167,658.745,656.189,1097.194,1312.562,1017.262,1793.044,1671.149,2040.397,2658.151,267.883,651.702,317.660,537.811,237.743,996.695,1340.800,438.435,1022.213,894.235,1493.278,886.796,538.411,340.571,535.265,686.029,829.250,1313.850
6,1593.915,1125.603,1453.933,1579.615,827.927,1301.814,1327.457,968.300,2519.467,694.115,1267.367,1313.988,1188.231,1954.786,2705.914,3051.082,1221.347,1665.023,2008.677,1797.673,876.302,2485.738,1736.716,1779.121,1229.431,1162.026,2959.460,1958.769,3958.589,2522.787,3012.842,3814.927,3145.271,2778.357,2953.412,2187.194,3672.170,2568.870,3278.153,2076.703,1422.232,3711.884,2887.115,2495.635,1057.441,803.934,1995.422,2011.930,1948.077,1725.323,1758.989,1635.582,1627.362,3455.483,4490.356,2155.322,1632.623,2549.782,2874.373,1789.880,1824.243,2886.373,5980.457,4194.174,3571.423,2347.786,2356.667,2035.810,1216.166,1876.063,1798.678,2081.011,1417.339,2032.865,835.395,1136.506,1881.306,1329.702,2678.860,1798.051,1764.823,1605.716,1463.062,521.490,949.099,718.750,3386.400,3654.638,2601.632,3773.023,1097.068,1061.327,1727.811,1931.018,2330.761,2056.404,1807.872,685.784,662.550,363.631,1287.756,1149.875,1246.595,569.130,1312.585,453.275,911.136,776.239,1919.667,2279.286,2494.421,1440.614,672.295,2533.254,2883.694,711.549,417.378,880.602,1346.938,958.692,1922.078,1616.267,1785.682,2981.058,119.130,758.702,464.038,482.973,217.200,844.508,1032.780,707.978,712.328,921.000,911.472,1099.857,224.804,268.157,479.853,1169.914,1447.464,1989.550
7,1229.525,731.111,1407.667,1442.192,1247.293,661.000,1597.783,959.850,2819.417,597.788,1627.000,1171.412,1563.969,1608.500,2153.677,2636.510,1389.633,1106.977,1821.177,1073.442,1474.460,1573.619,1360.030,1987.515,1394.294,1744.744,2526.095,1350.551,3402.143,2351.766,2043.763,3550.662,2678.208,3422.452,3219.294,2573.226,3668.264,2458.500,2810.237,2554.346,1723.652,3318.464,3030.211,1802.746,981.466,1165.341,1641.656,2205.140,1719.262,1502.073,2268.580,1647.927,1645.348,3527.190,3687.123,2107.857,1223.738,3119.509,3393.078,1956.787,1735.703,3457.322,5981.739,4099.768,4349.930,3389.667,2391.310,2243.293,1657.640,1502.203,1297.068,1608.910,1564.797,2107.211,1523.279,986.494,2135.500,1772.657,2370.562,1377.684,1902.032,1516.955,1658.958,943.878,913.225,904.019,3549.800,3888.986,3194.684,3323.432,1102.659,1288.873,1611.208,2153.197,2152.418,2461.115,2690.179,653.230,704.725,440.615,1128.756,1572.925,954.048,820.370,710.829,957.150,604.545,847.731,1698.386,2259.214,1989.123,1608.218,1059.926,2562.847,2695.611,765.637,642.658,943.482,1061.387,1167.354,1619.956,1686.416,1844.571,2262.907,293.740,573.447,254.472,265.622,318.286,774.932,1124.020,570.913,1057.574,927.137,777.278,889.041,312.268,398.657,938.750,638.886,1438.036,1490.675
8,1373.034,1017.778,1651.511,1217.981,1149.195,1162.535,933.283,1014.850,2147.900,787.423,1480.306,1190.412,1594.185,2003.262,2716.903,3361.204,1403.082,2108.000,2091.588,1631.750,1105.476,1774.976,1896.925,1602.939,1361.353,1095.590,2560.746,2060.410,4022.286,2375.383,2504.895,3218.471,2972.979,2871.024,2770.588,3119.645,3879.434,3192.783,3055.559,2161.852,1465.116,3499.841,3365.385,2678.873,1184.288,820.396,1676.125,2128.453,1569.015,1385.382,1801.409,1861.836,1348.507,4234.293,4564.849,1855.357,1575.016,2669.327,3077.843,2143.067,1597.905,3624.085,6057.304,3566.507,4834.507,3530.095,3292.500,2380.638,1428.245,1393.620,1085.983,1991.809,2010.661,2203.519,1336.907,1332.909,1600.258,1549.776,2025.351,1805.755,1832.226,1968.567,1648.042,744.306,702.676,900.981,2398.320,3833.073,2129.868,3438.795,995.614,1432.764,1625.453,2427.000,2380.164,2710.365,2183.282,1115.662,469.663,366.154,1033.089,1817.650,1496.048,672.407,1056.829,796.725,749.273,991.209,2016.965,2255.986,2304.912,1318.901,1211.811,2720.288,3135.472,651.637,584.649,768.259,1482.062,969.169,1724.122,1852.752,1940.540,3155.744,238.403,355.234,341.170,455.243,187.343,601.542,1362.880,418.239,824.016,959.784,1543.111,825.061,298.196,166.629,590.735,880.771,1248.607,1696.700
9,1805.881,1112.365,1663.489,1161.654,1107.073,1183.279,1395.043,952.117,2426.550,642.692,1588.000,1612.537,1654.477,1810.738,2521.527,3219.143,1582.694,1282.295,1990.544,1597.269,800.889,1585.881,1679.418,1514.303,1456.039,1014.564,2667.254,2101.449,4262.625,2759.745,3302.553,3865.500,2456.875,2548.333,3326.206,2553.871,3367.925,2628.652,3014.458,2108.356,1712.304,2864.942,2837.558,2201.540,871.636,940.549,1963.094,2631.000,2034.200,1239.838,2165.159,1863.473,1622.985,3417.638,4307.260,3031.678,1087.066,2471.327,2683.726,1782.840,2044.689,3293.542,6338.739,3817.449,3992.127,3054.357,2826.357,2246.155,1322.705,1398.127,1624.627,1851.214,1747.627,1814.346,1123.558,1311.831,1010.597,1485.313,2236.176,1845.602,2018.677,2194.597,1151.292,677.000,656.141,956.538,3020.800,3111.884,2108.263,3870.250,1053.455,1260.127,1335.585,1822.018,2170.508,1909.327,2557.897,620.905,594.525,716.923,1133.378,779.075,1730.952,508.963,804.902,527.325,943.068,666.164,1975.035,2147.400,2068.210,1652.634,1139.537,2787.576,3960.667,809.078,554.081,956.222,1247.925,1267.354,1500.422,1968.129,2198.873,2942.128,271.169,556.362,687.868,288.757,383.114,737.356,1705.820,959.957,969.541,757.353,1648.611,1011.776,279.929,208.771,517.691,1012.114,451.464,1757.900
10,1503.034,892.714,1638.244,721.981,1695.732,1568.209,1127.109,1064.983,2020.267,403.269,1267.327,1383.100,1600.954,1869.405,2193.688,3987.143,885.592,1458.114,1463.809,1670.346,746.714,2133.238,1585.821,982.091,1560.039,1287.718,2914.857,1597.192,3560.268,2334.383,3027.421,3655.191,2498.292,3657.952,4525.853,3293.968,4094.943,2508.065,3004.542,2148.148,1474.478,3651.275,2915.077,2438.238,1119.534,965.110,1849.641,2506.035,1985.661,1388.794,1663.455,1516.836,1994.435,4254.345,4323.466,1897.696,1484.967,2976.782,2912.078,1974.760,2100.149,3479.729,6484.022,4088.565,4334.099,3292.572,2869.905,2242.500,1099.237,1609.937,1584.898,1723.180,1433.763,1657.481,1374.814,1382.091,1785.210,1806.806,2436.281,1864.459,1179.774,1871.582,1429.104,492.388,946.380,622.923,2692.460,3017.609,2347.500,3080.136,1144.591,1271.291,1873.660,2425.482,2530.090,2531.961,2271.154,591.000,939.225,854.062,1488.556,1470.450,1198.238,603.944,1463.244,750.250,1032.318,945.388,1745.649,2295.000,2433.316,1330.208,989.211,2434.627,2879.611,921.549,649.414,1044.648,1129.475,805.585,1658.478,1919.010,1645.524,3321.988,212.455,454.362,356.830,391.838,330.314,663.390,1514.740,649.413,999.164,834.980,1201.333,1035.245,271.554,312.771,819.088,788.200,898.071,1518.825
11,2171.271,960.222,1835.711,1083.673,1602.512,1117.558,979.283,1307.083,2383.933,897.442,1933.122,1438.713,1666.908,2318.476,2214.774,3498.979,1181.755,1072.568,1770.162,1489.365,1166.762,1806.619,2653.776,1873.333,989.431,2159.026,2455.667,1692.615,5090.911,3022.681,1773.526,2855.294,3453.229,3245.833,2584.059,2413.484,3481.264,3367.217,2838.509,2368.218,1604.681,2986.768,3212.115,2193.556,914.992,996.813,1752.031,2502.488,2195.708,1633.412,2061.318,2095.909,1465.261,4444.655,3986.041,1976.893,1415.541,3118.618,3215.039,2565.240,2516.297,3550.203,5604.935,3974.870,4311.310,3009.095,2602.738,2269.483,1268.719,1819.304,1474.915,2694.607,1281.237,1408.885,1338.000,1065.234,1823.597,1947.940,2395.912,1901.520,2070.629,1540.149,1231.792,829.980,900.338,824.596,3081.740,3094.014,2838.684,3511.773,810.773,1048.200,1739.264,1903.696,2659.806,2764.481,2026.974,366.432,539.325,598.046,1154.178,1471.175,1271.452,557.426,790.878,525.550,814.614,950.164,1489.947,2201.643,2080.456,1320.347,804.295,2675.491,3771.056,862.490,515.441,1011.546,1667.925,812.800,1426.900,2185.881,1703.587,2797.244,481.403,352.191,252.453,453.730,165.429,744.169,1229.040,839.435,769.574,723.039,1059.500,1344.245,440.518,368.886,692.676,819.000,1078.214,1573.875
12,1237.627,1305.698,1383.756,1441.481,812.854,1044.581,1523.913,1005.250,2523.317,573.250,1519.061,1570.325,1507.661,1585.381,2790.635,2786.204,1561.020,1640.432,1789.029,2028.135,1081.778,1275.262,2005.746,1124.212,1177.863,1229.692,2525.286,2114.346,3735.357,2050.979,2711.737,3975.279,2855.479,3369.119,3875.882,2650.677,4120.830,2818.978,2996.407,1511.634,1822.507,3260.464,3681.635,2430.841,1081.449,1045.505,2010.797,2479.081,1896.769,1332.794,2274.216,1704.727,1299.333,3949.569,4170.835,2116.393,1302.115,1872.200,3425.274,1654.987,1340.014,3554.271,6103.130,3711.710,4419.084,3174.143,2686.857,2375.034,1205.043,1689.215,1664.831,2057.674,1615.186,2252.885,1568.744,883.117,2264.210,1269.910,1922.807,1440.235,1975.500,1645.239,1046.812,295.469,1084.239,578.404,2685.520,3514.275,2154.658,3586.955,1014.841,1234.236,1823.641,2684.857,2618.940,2089.923,2098.692,881.784,683.787,490.462,1146.467,1446.150,1037.905,562.278,945.902,1057.400,1240.500,779.045,1371.158,2122.943,1729.404,1254.525,1101.411,3060.356,2396.444,858.637,635.748,768.963,1796.438,1157.369,1504.778,2009.495,1693.746,2961.372,178.896,351.021,327.509,451.135,342.229,786.390,1244.120,561.000,475.016,1036.902,1188.667,870.653,300.250,216.243,269.971,1236.029,742.000,1426.575
13,1427.949,884.825,1645.956,1417.269,1044.829,1117.116,1144.457,570.983,2395.833,960.231,1399.551,1352.662,1737.246,1370.310,2820.365,3192.367,1311.020,1139.182,2122.471,1709.423,1325.222,1527.857,1507.194,1759.485,1180.255,1217.949,2490.238,1484.192,3714.143,2722.958,2628.237,3784.956,2322.188,3904.881,3655.882,2766.194,3129.170,3024.000,2977.610,2235.535,1714.101,2460.609,2454.289,2185.746,936.644,1063.593,1487.172,2519.686,1805.154,1729.765,2052.114,1206.000,1361.188,3632.241,4261.055,1795.571,1327.623,2542.436,3280.647,1968.813,1930.230,4076.322,6136.000,3535.623,4410.127,3628.762,3110.881,2189.569,1366.561,1330.937,1187.119,1587.933,2078.390,2233.596,1342.395,1151.286,2280.194,1684.269,2541.158,2010.020,1714.032,1899.910,823.542,904.143,919.169,847.327,2600.340,3908.261,2444.132,3643.114,1071.000,1346.818,1512.868,2097.500,2351.075,2326.654,1836.026,864.865,531.925,694.031,1172.578,1610.875,1212.762,859.204,1057.537,866.825,686.977,1047.164,1588.737,1929.571,2770.018,1500.545,904.990,2659.441,2715.361,815.618,461.829,794.417,1397.338,835.985,1762.333,1779.554,1787.714,2758.791,197.805,438.638,283.679,609.324,253.914,1023.254,1415.240,621.391,890.557,775.353,1178.722,806.571,438.250,259.414,598.250,816.771,1190.964,1529.325
14,1577.390,788.063,1362.533,1780.385,1489.244,1104.721,1333.196,1010.217,2358.250,675.135,1974.082,1256.875,1350.046,1921.143,2393.710,3024.898,1233.449,964.205,1826.794,2140.673,694.079,1348.476,2317.940,1712.303,1197.157,854.103,2677.762,2038.103,4041.964,2719.511,2017.289,4023.971,2053.500,2561.119,2866.823,3530.000,4259.396,2112.435,3168.254,2013.020,1735.043,3118.145,4010.596,2728.222,953.220,1025.824,1492.969,2219.965,1877.108,1575.485,1947.182,1761.509,1560.580,4136.328,4329.301,2295.053,922.148,2825.164,2400.451,1799.507,1748.135,3739.203,6122.652,4043.638,4690.127,2834.048,2790.000,2478.310,1606.640,1664.785,1415.932,2105.236,1319.542,1493.000,1474.140,1156.636,1952.258,1134.060,2424.298,1925.235,2369.145,1833.552,1010.167,721.163,981.296,1289.269,2811.660,3594.739,2852.079,3508.477,834.386,1018.000,1867.472,2142.178,2802.806,2813.558,1828.333,850.095,604.075,511.077,1185.311,1261.550,1108.095,837.352,1536.463,1131.525,996.659,869.000,1624.386,1767.129,1603.526,1352.762,895.158,2916.475,2521.056,830.186,813.937,742.602,1109.637,1715.692,1811.367,1903.703,1461.349,2580.128,331.675,363.638,310.925,516.649,455.457,1090.729,1272.080,697.870,894.934,1327.980,953.917,826.612,485.393,413.071,823.044,1108.429,734.429,1681.925
15,1533.797,1284.444,1747.356,1151.577,1338.098,1499.302,1381.783,913.217,2666.133,591.654,1059.429,1803.475,1724.769,1957.071,2228.172,3341.306,1166.612,1742.364,2130.618,1562.538,1051.413,1938.619,1631.567,2253.667,1081.157,1220.179,2425.746,1728.128,4066.607,2275.574,2455.526,3694.868,2628.250,3274.214,2578.471,2290.613,2992.151,2283.848,3531.712,1689.950,2426.783,3064.130,3206.192,2798.365,763.644,1060.473,1561.188,2387.221,1399.369,1754.279,1927.807,1763.091,1532.203,3829.483,3718.137,2216.411,1602.197,2343.891,3429.941,1749.973,1867.986,3379.288,6504.130,3871.464,4843.986,3341.857,2360.524,2374.207,1215.604,1694.671,1179.712,1753.494,1588.695,1573.942,1436.977,1178.948,1898.839,1309.239,2578.210,1664.980,2211.306,1828.000,1901.938,787.694,951.338,928.942,3454.220,3626.638,2195.816,3588.886,1196.364,1223.527,1651.698,2045.464,2466.224,2696.077,1690.103,871.919,594.638,400.215,1606.556,1438.350,985.810,719.037,1203.244,890.175,618.409,1211.567,1424.702,2390.543,2278.860,1164.584,1127.463,3044.390,2879.500,672.196,566.928,829.361,1448.225,1327.938,1477.867,1665.535,1905.810,2131.523,129.247,848.191,592.057,204.541,238.886,744.610,1179.260,446.152,840.393,1067.098,1110.889,889.510,302.696,251.043,749.412,628.257,1288.214,1779.400
16,1823.763,1184.778,1915.422,1251.154,2044.976,1283.163,1224.391,678.617,1994.400,907.115,1421.408,1265.463,1716.738,1631.167,2483.097,3048.939,841.878,1310.773,1556.250,1983.365,1065.492,2159.619,1873.060,1766.849,1353.980,1545.641,2622.762,2280.461,4267.839,2656.255,2469.000,3875.721,3127.917,3086.048,3064.471,3110.516,3767.094,2542.957,2508.593,2278.010,1833.073,2705.493,3438.904,2578.428,1114.839,1190.857,1490.000,2439.837,1697.738,1471.456,1800.250,1495.655,1673.101,4255.914,3982.069,2725.500,1501.016,2088.073,2405.098,2231.360,1783.041,3770.220,5161.674,3831.203,4762.789,3064.619,2730.333,2472.724,1462.849,1754.722,1168.271,1825.326,1337.831,1468.712,1546.233,1257.065,2039.145,1767.597,1967.860,1616.316,1696.290,1973.940,1129.125,625.408,894.746,683.000,3084.480,3309.102,2438.474,3151.909,1128.159,1331.691,1419.226,2696.572,2260.537,2196.192,3208.077,665.622,614.700,552.723,973.356,1234.000,1108.714,1067.111,1177.024,615.150,943.295,846.030,2514.579,2371.743,2125.649,1370.812,906.158,2525.203,2557.889,806.588,558.793,1001.435,1463.738,1025.462,1588.822,1860.267,1885.095,2848.372,188.130,558.872,426.660,481.027,227.971,716.831,1323.920,565.217,892.820,1097.902,1379.833,1105.286,315.500,221.386,810.176,685.686,745.964,1384.150
17,1479.814,948.921,1193.267,1783.308,764.415,1104.372,1396.891,623.717,2478.750,555.038,1847.673,1332.075,1676.600,2180.714,2660.215,3340.551,943.163,885.591,1861.868,1587.673,1086.254,2057.786,1793.821,900.849,1624.823,1256.256,2973.270,1675.231,4551.464,2200.936,2242.158,3675.823,2974.083,3187.048,3061.235,1897.161,3962.962,2443.609,2603.407,2321.683,2019.870,3193.449,3197.404,2359.048,846.331,1034.341,1968.766,2875.047,1546.277,1580.794,2089.136,1516.146,1213.971,3957.586,3751.671,2300.089,1681.688,2055.891,3387.020,2119.507,1482.622,3107.644,5424.500,3863.449,3967.197,3019.500,2414.428,2268.672,1376.223,1611.582,1496.119,1933.517,1669.610,1774.904,1202.419,1215.247,2097.919,1476.478,1927.035,1389.235,1776.952,1828.090,1290.188,798.347,907.141,880.212,2793.420,3416.870,2146.763,3700.818,1157.705,1139.109,1288.679,2023.196,2484.716,2732.635,2499.641,735.676,792.537,469.492,1521.378,1345.350,1310.690,769.315,1628.122,650.625,1067.682,691.716,2312.509,2087.914,2344.228,1408.198,1210.768,3359.847,2739.167,763.069,787.126,1082.287,1391.475,1054.108,2211.233,2195.852,2049.635,2879.488,214.234,428.319,414.113,402.784,161.200,783.678,1081.900,721.630,828.738,1281.843,1914.806,1312.918,470.161,385.057,488.529,789.486,1275.071,1543.350
18,1418.017,709.048,1672.400,1334.808,1374.317,965.674,1789.196,1024.817,2031.650,404.346,1337.245,1216.450,1368.938,1248.048,2706.936,3007.572,997.245,1238.909,1763.250,1529.423,568.079,1408.143,2065.567,1148.212,1635.588,1611.410,2306.587,1631.859,3625.822,2451.787,2198.947,3694.559,2920.167,2615.667,2853.059,3132.516,3565.830,3142.587,3072.169,1806.990,1730.623,2841.464,2799.365,2412.762,988.712,854.319,1917.875,2087.721,1792.492,1298.103,2066.943,1499.109,1832.391,3595.172,4279.973,2026.554,1440.639,2606.073,2364.157,2258.947,2057.122,3475.441,6337.565,4058.623,3916.930,2973.357,2873.905,2582.655,1315.424,2035.203,1192.610,1984.214,2028.169,2216.000,1556.512,1078.156,2521.048,1777.761,2220.982,1418.643,2221.484,1738.597,1182.479,609.551,964.803,1143.462,3295.360,2842.102,3133.210,3887.659,862.500,1105.836,1465.679,1963.911,2323.104,3202.308,1772.436,642.405,625.862,538.662,1126.400,1580.025,681.357,995.704,1124.415,460.150,824.818,772.806,1535.667,2110.800,2352.438,1208.178,954.021,2266.135,2837.194,652.108,646.892,982.102,1427.950,1307.938,1395.711,1944.792,1876.460,3132.093,277.779,717.106,309.660,259.703,207.857,602.881,1102.280,551.761,913.836,372.882,1185.472,808.816,287.429,383.400,383.603,338.914,916.429,1414.775
19,1260.373,1296.682,1502.644,1032.673,1211.024,951.581,1556.957,1152.050,2720.750,493.058,972.939,1381.050,1654.831,1609.333,2800.527,3138.837,1162.265,1085.955,1634.338,1716.077,1011.254,1588.190,1673.791,957.182,899.804,1310.564,1882.286,1661.513,4970.661,2328.574,2064.342,3783.088,2886.188,3478.643,3345.529,3533.355,3276.528,2623.609,2963.695,2223.921,1780.580,3475.551,2533.808,2150.730,1046.398,874.923,1684.125,2131.070,2138.938,1169.853,1830.557,1930.309,1732.391,3132.776,4159.767,2105.982,1324.984,1997.291,3365.078,1799.067,1741.176,3465.458,5996.761,3855.290,4478.338,3451.714,2814.976,2392.586,1272.331,1519.658,1390.288,1931.876,1687.542,1583.442,1132.023,1288.714,2041.919,1707.298,2021.737,1910.173,2137.726,1771.239,1439.458,632.388,737.225,778.615,3261.280,3033.783,2514.737,4416.068,1085.864,1227.745,1496.359,2412.572,2570.045,3029.865,1790.590,642.297,631.088,466.969,887.156,1270.925,1440.548,769.315,958.073,959.350,708.591,1104.821,1837.965,2574.343,2230.772,1625.337,1379.558,2736.898,2503.111,643.853,422.432,891.435,1192.700,897.231,1733.833,2203.713,2276.095,2488.058,237.818,544.574,360.547,511.676,314.771,1116.390,873.640,694.152,913.557,1272.510,718.528,1455.306,383.393,451.157,530.647,652.629,831.929,677.500
