 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135
1,1708.200,4659.985,1714.082,1637.561,1306.882,4299.037,1374.790,1538.866,528.685,702.178,1792.157,1529.823,1426.798,1052.302,970.438,1625.177,555.578,686.518,1102.034,1392.606,655.865,877.346,564.459,833.054,722.967,1048.422,1036.344,950.056,1254.050,889.967,1024.905,1245.829,1948.351,1531.669,815.279,1332.371,3915.238,2251.167,1347.168,1765.359,1191.580,1042.946,1610.232,4542.185,2607.881,582.715,815.596,886.156,1168.542,1378,896.016,1236.901,1123.910,773.959,959.511,1526.262,2962.780,2178.259,777.688,1545.283,1146,639.731,1245.520,1431.804,1131.960,936.232,1857.067,1289.008,1088.590,952.203,592.964,1502.153,1400.288,702.465,810.081,1032.200,632.232,653.631,1430.058,1603.981,1162.664,901.462,1828.902,2195.307,2241.221,1659.583,2027.597,1252.388,1074.301,1046.299,998.142,1117.210,856.553,833.151,1155.591,590.937,628.215,1007.225,1049.884,768.450,743.798,810.566,949.803,841.920,1127.037,1062.663,756.461,1814.052,1743.754,2077.779,946.443,2340.226,1061.955,1913.297,1045.858,2760.250,893.711,764.599,776.102,3850.955,3667.161,1994.091,2284.706,2982.322,1716.344,1731.031,1089.353,1188.684,608.726,1269.106,1417.333,2608.392,615.115,504.236,389.142
2,1716.975,4922.080,1625.495,1891.318,1270.993,4218.279,1155.866,1546.246,445.640,694.822,1988.922,1582.140,1461.885,1123.497,1372.108,1276.752,636.623,613.229,1065.121,1111.361,574.716,858.184,568.259,622.831,785.683,1072.403,1261.543,972.897,1353.104,1087.640,900.476,1461.841,1675.216,1687.775,952.836,1625.591,4225.451,2090.206,1259.671,1932.382,1351.621,1161.619,2021.662,4208.946,2153.898,480.088,963.633,1056.678,1132.148,1409.351,592.772,1187.971,1076.707,900.164,971.128,1730.600,2966.714,2545.918,936.352,1510.929,1076.365,849.026,1100.331,1453.696,1410.532,998.217,2005.302,1217.252,1162.660,994.517,441.339,1290.840,1635.817,810.929,841.037,1205.054,691.657,492.383,1565.358,1758.223,1198.580,956.042,1872.521,2126.407,2284.164,1921.606,2237.255,1430.434,901.531,1063.675,1102.062,1110.960,896.527,834.185,1170.264,718.713,779.633,983.043,1305.403,717.136,900.807,782.586,1162.638,840.936,1272.164,1196.272,931.369,1936.538,1923.638,2141.798,1001.648,2293.421,1042.993,2198.180,908.117,2524.603,945.681,710.083,774.723,4094.580,3768.129,2197.655,2464.387,2750.504,1681.500,2128.767,1100.537,1435.162,621.095,1541.663,1523.426,2838.373,584.784,639.790,428.732
3,1850.150,4916.036,1741.898,1728.166,1659.493,4240.669,1218.312,1399.776,499.860,716.620,1924.524,1576.022,1581.433,1138.925,1518.249,1593.230,738.084,716.410,1141.575,1380.589,726.189,964.625,674.081,815.200,770.902,1091.286,1321.548,877.887,1269.577,822.140,1057.881,1440.829,2036.830,1946.118,915.714,1645.356,3849.566,2368.603,1286.729,1967.244,1442.402,1242.122,1802.384,4035.308,2608,547.168,876.602,1098.133,1188.619,1748.676,799.425,1439.099,1016.233,1002.656,988.394,1605.300,2983.506,2412.775,794.633,1799.540,1143.916,669.181,1500.929,1236.581,1384.573,930.014,2220.647,1034.341,1019.750,928.161,586.357,1444.387,1393.111,994.097,807.889,1135.400,827.414,751.404,1465.350,1808.767,1221.315,986.697,1990.393,2319.507,2178.779,1853.827,2326.148,1309.093,1262.974,1277.364,1282.903,1228.910,925.113,829.723,1166.864,558.252,710.620,1085.616,1234.070,655.614,1012.252,678.505,954.664,1006.664,1225.343,1144.380,1019.553,1973.712,2031.734,2251.730,1060.881,2554.346,1241.664,1632.568,1061.092,2728.385,867.970,779.439,971.095,4004.115,3601.606,2066.527,2607.688,2583.096,1654.506,1911.884,1110,1426.029,677.562,1425.346,1543.837,3003.458,568.547,496.943,442.989
4,1844.800,4749.297,1828.010,1781.955,1414.529,4394.654,1279.662,1409.037,580.657,734.581,2016.584,1999.985,1642.019,1200.302,1579.541,1586.841,679.201,713.018,995.425,1336.428,638.230,1035.338,587.230,745.469,730.667,973.994,1297.570,975.200,1238.169,934.333,1137.619,1473.902,1645.901,1919.247,939.507,1622.379,4543.131,2230.921,1346.594,2070.244,1460.414,1036.442,1864.417,4234.669,2690.661,518.270,1007.482,1180.081,1133.116,1401.658,922.646,1500.766,1189.060,976.549,1115.830,1560.812,3425.088,2340.095,1135.992,1751.850,1218.776,712.347,1336.142,1559.791,1364.976,960.609,1927.059,1205.902,1064.160,1000.992,421.054,1444.607,1592.078,838.510,736.504,1277.762,662.370,596.738,1490.117,2048.272,1272.797,1038.042,2108.969,2094.313,2190.957,1682.315,2511.913,1411.938,1447.664,1078.182,1325.938,1349.350,1042.593,1176.336,1534.445,525.846,716.171,1258.283,1531.248,761.064,874.235,970.768,1080.329,982.696,1504.552,993.750,1016.482,1844.156,1704.764,2024.288,1053.790,2631.323,1087.216,1963.378,869.817,2733.571,1004.852,840.053,957.978,4256.210,3597.568,2212,2387.956,2812.443,1838.065,1501.364,1087.559,1483.632,644.254,1326.625,1591.202,2843.536,543.957,564.452,495.100
5,1926.933,5007.985,1976.321,2032.229,1681,4403.478,1348.631,1574.366,736.494,784.333,1895.470,1975.132,1788.865,1122.453,1269.092,1798.460,615.513,638.301,1246.776,1408.744,505.041,976.169,637.141,841.292,935.829,1006.513,1198.943,1101.031,1255.662,1132.027,1144.365,1692.872,1849.222,1909.888,951.664,1527.129,4291.910,2331.722,1142.639,2313.664,1412.672,1163.803,1791.921,4339.677,2190.856,611.650,839.542,1086.815,1188.174,1599.414,941.819,1339.708,1066.466,859.943,1204.032,1572.550,2921.967,2686.639,982.680,1754.531,1031.065,672.047,1151.299,1487.980,1249.226,1089.688,1697.160,1129.634,1259.430,1020.246,486.045,1655.807,1664.876,926.071,890.400,1187.977,717.906,686.277,1641.150,2141.136,1332.965,1109.866,1906.282,2130.127,2092.207,1924.118,2257.416,1504.729,1075.080,1124.948,1399.894,1167.720,897.180,961.252,1289.146,682.832,755.797,1114.783,1115.047,611.179,1133.857,881.606,1195.526,958.792,1439.470,1118.076,1018.610,2055.849,1892.759,2252.749,1042.915,2336.556,1106.306,1764.234,1022.792,2572.410,922.067,690.197,857.409,4013.090,3812.439,2290.427,2148.562,2591.600,2084.214,1761.581,1213.897,1543.890,613.995,1307.779,1528.705,2834.052,635.633,528.643,393.705
6,1681.042,4943.210,1900.592,1852.949,1588.537,4561.471,1388.522,1576.687,663.090,751.984,2169.855,1988.787,1526.760,1243.069,1294.346,1545.266,715.110,748.145,1004.828,1373.667,574.324,852.147,591.844,753.531,1043.594,1387.403,1391.487,1102.482,1119.906,988.073,999.944,1576.933,1808.094,1728.095,851.671,1649.326,4538.688,2200.841,1296.439,2124.305,1427.270,1091.918,1947.695,4458.323,2486.813,412.182,912.446,1035.389,1114.323,1385.225,912.819,1471.521,1239.173,942.066,1046.404,1828.762,3356.363,2612.068,891.648,2006.620,1429.850,866.492,1427.087,1176.703,1351.694,907.580,2393.437,1190.618,953.750,1098.068,542.536,1704.640,1431.039,876.271,936.807,1098.031,711.928,639.113,1647.042,1978.777,1297.678,1257.630,1774.325,2147.613,2515.079,2018.008,2352.550,1386.946,1295.230,1357.662,1083.106,1165.940,915.460,1011.605,1131.845,677.881,750.633,922.732,1353.310,843.736,755.689,944.545,1174.151,1040.120,1278.284,1134.815,864.333,2174.618,2079.593,2066.227,1171.830,2621.647,1058.030,1734.757,1098.117,2474.795,929.178,643.795,878.883,4212.665,3774.826,2144.591,2694.756,2770.635,1736.883,1802.031,1270.721,1416.507,749.234,1253.250,1751.992,2935.386,671.014,589.873,624.821
7,1751.758,4907.739,1973.791,1867.248,1465.948,4168.265,1285.178,1508.187,587.124,681.496,2128.530,1816.029,2022.769,1254.157,1253.854,2040.531,784.331,777.211,1371.546,1442.339,718.203,864.787,779.267,961.254,826.911,1209.552,1305.052,1096.846,1271.070,1039.327,1048.929,1421.805,1936.105,2042.101,1051.457,1629.901,4192.877,2311.524,1191.194,2321.198,1460.339,964.735,2150.159,4576.931,2383.085,570.788,949.235,1086.763,1204.103,1857.306,772.835,1459.918,1093.105,1069.828,1085.223,1738.575,2946.176,2439.136,1015.453,1890.372,1163.514,822.834,1293.118,1413.946,1445.960,1029.833,1948.336,1380.268,1356.540,1156.822,519.732,1853.100,1652.601,864.671,920.244,1305.877,819.508,712.021,1557.342,2142.777,1279.231,983.479,1959.521,2412.293,2257.764,1967.339,2225.101,1474.915,1395.026,975.831,1385.664,1166.530,875.407,927.311,1490.636,503.469,801.854,1081.536,1503,998.150,911.210,686.162,1285.401,896.968,1232.978,1258.511,923.170,2068.722,2024.925,2215.730,1180.011,2561.113,1289.724,2249.036,1190.950,2918.321,921.585,834.955,813.540,4064.515,3670.955,2497.245,2695.719,2935.270,2086,1752.574,1269.471,1449.132,629.468,1499.125,1663.884,2899.294,560.180,610.580,481.358
8,1869.725,4569.485,1826.827,1977.166,1410.875,4556.471,1281.433,1640.030,787.758,848.341,2184.464,1932.529,1924.760,1213.818,1323.065,1660.354,797.753,841.078,1290.270,1512.278,943.730,941.449,593.941,702.008,822.781,1151.987,1285.230,1164.308,1132.313,1216.180,945.135,1510.360,2027.292,2262.584,1121.757,1861.833,3809.106,2265.214,1246.665,1931.092,1380.126,1114.673,2020.536,4119.454,2763.687,643.964,976.970,1112.673,1143.406,1858.297,967.638,1423.749,1260.286,907.623,1108.830,1693.225,3476.550,2502.612,1124.992,1874.522,1159.944,764.342,1236.551,1409,1465.145,1196.841,1891.471,1224.594,1178.550,983.593,579.536,1734.780,1442.327,1047.310,948.119,1174.462,729.011,791.511,1514.400,2198.757,1092.077,1121.941,2184.055,2331.913,2271.764,1969.740,2260.772,1351.899,1126.894,1422.662,1202.655,1516.340,1047.320,1193.025,1295.100,694.979,869.297,1000.884,1684.271,694.329,1076.219,830.808,1189.882,1072.880,1306.761,1344.446,957.404,1913.141,2025.332,2271.706,1239.335,2556.203,1130.440,1945.342,960.325,2458.494,1174,874.644,788.606,3948.730,3685.974,2168.391,2653.387,2942.670,1889.727,1966.868,1357.853,1605.566,683.313,1406.356,1485.233,3250.248,660.014,449.943,621.353
9,2164.108,4778.935,1640.321,1988.395,1679.802,4103.066,1419.516,1550.978,673.051,675.442,2107.916,1712.015,1860,1251.610,1356.573,1759.531,792.422,638.928,1112.356,1598.650,477.757,1245.235,640.756,731.400,939.008,1192.513,1365.070,1094.995,1227.617,1053.267,985.770,1680.067,1964.602,2250.567,1074.400,1606.689,4348.131,1986.944,1505.619,2178.092,1369.420,1206.966,2302.901,4335.461,2604.347,655.942,997.639,1044.678,998.432,1522.081,985.874,1402.409,1158.316,787.369,865.670,1489.113,3355.242,2356.435,875.070,1736.858,1412.187,712.746,1465.669,1499.182,1470.734,1108.775,2389.781,1168.146,997.580,969.390,696.089,1916.473,1637.248,1031.968,856.985,1062.577,733.475,621.986,1418.658,2162.728,1407.629,1068.160,2112.031,2482.020,2256.714,1758,2217.121,1498.364,1293.903,1072.753,1136.779,1124.940,1106.760,1030.924,1004.982,557.378,733.462,1084.290,1465.698,737.343,920.496,894.576,1356.895,1012.376,1403.298,1322.880,898.433,1787.656,2215.854,2368.884,1162.778,2293.556,1166.373,1852.135,1067.450,2918.609,1038.459,859.371,967.255,4232.615,4055.123,2295.500,2920.919,2957.226,1872.584,2028.271,1305.323,1472.875,730.582,1370.115,1436.884,3258.379,537.050,584.312,604.863
10,1887.458,4818.870,2027.546,2021.057,1430.897,4192.059,1255.312,1498.873,610.921,742.922,1962.651,1939.294,1790.779,1251.063,1515.551,1397.699,726.130,802.488,1082.994,1446.428,618.284,926.044,587.207,789.738,800.577,1235.175,1375.822,824.697,1404.672,1112.693,1065.651,1643.476,2075.041,2053.343,976.871,1592.864,3943.975,2131.730,1304.671,2153.595,1433.799,1215.415,2143.311,4424.292,2203.127,570.277,948.542,1019.692,1171.587,1432.486,924.748,1291.023,1010.211,953.156,1094.511,1761.675,3237.110,2399.667,930.359,1725.363,1227.710,777.969,1429.189,1328.932,1440.710,1068.761,2233.319,1290.276,1246.670,990.746,513.580,1677.773,1702.889,989.477,741.230,1316.123,597.785,693.993,1520.283,1823.126,1452.608,985.975,2013.663,2099.613,2291.157,2011.472,2218.658,1618.140,1184.867,1205.117,1025.469,1265.630,910.833,1089.504,1445.227,537.294,872.570,951.217,1481.930,748.079,996.824,784.626,1223.776,1145.584,1344.530,1421.674,834.191,2180.226,2209.035,2062.006,896.006,2387.158,1210.425,2013.748,1085.383,3245.365,866.763,819.674,926.752,4547.645,3959.626,2299.427,2187.481,2548.296,1786.403,2004.302,1248.243,1539.846,577.075,1305.837,1627.698,3105.261,700.856,634.815,447.247
11,1790.183,4758.065,1745.781,1937.924,1612.904,4662.331,1458.459,1392.075,634.590,705.845,2075.271,1917.640,1807.106,1257.635,1389.195,1655.911,646.091,706.169,1088.839,1423.444,743.419,945.331,657.459,711.815,830.805,1206.909,1237.552,865.087,1163.901,1145.153,1146.984,1640.116,2040.023,2084.674,995.186,1642.894,4365.442,2266.746,1363.329,2254.496,1221.655,1086.041,1801.113,4451.685,2596.356,590.022,917.952,1094.156,1355.355,1567.279,950.071,1609.298,1311.526,1134.098,960.255,1744.188,2965.626,2266.775,1012.039,1861.911,1193.561,706.010,1431.646,1425.453,1391.653,861.638,2330.177,1079.431,1247.180,992.780,663.125,1829.067,1450.706,867.606,762.518,1170.600,870.735,742.596,1567.742,1921.466,1108.811,966.992,2313.080,2431.280,2033.221,1915.378,2677,1325.915,1292.089,1351.364,1332.186,1467.750,1061.513,1399.160,1339.627,637.028,795.747,1137.406,1365.558,707.707,890.387,978.404,1170.875,1016.520,1389.955,1193.663,1022.695,2171.071,2067.206,1970.043,1047.477,2663.534,1169.597,2100.928,1204.483,2550.731,1030.089,763.606,899.255,4229.540,3656.703,1973.309,2590.238,2848.469,1880.552,2022.682,1235.140,1665.382,748.060,1633.760,1652.783,3155.039,610.165,577.790,448.474
12,2148.567,5159.464,1928.327,1816.191,1317.419,4523.206,1351.802,1543.813,802.455,570.473,2112.735,2127.162,1497.481,1221.396,1183.395,1752.788,886.058,752.819,1270.224,1347.567,614.865,1099.919,894.482,632.531,927.325,1032.364,1288.917,947.472,1126.711,960.493,961.595,1730.683,2173.053,1836.242,976.907,1654.932,4465.713,2453.008,1369.419,1861.145,1417.293,1105.959,2133.576,4936.008,2930.449,655.547,1045.578,1094.744,1324.348,1635.739,849.394,1329.538,1183.647,815.148,1060.862,1707.988,3593.956,2444.755,896.094,1763.230,1277.121,762.617,1559.150,1500.088,1204.363,1089.985,2148.260,1112.537,1262.820,1175.763,466.411,1727.687,1594.817,922.258,831.578,1007.469,790.989,621.511,1639.783,2060.884,1213.343,1081.395,2158.233,2600.900,2571.700,2015.197,2098.242,1372.357,1482.212,1280.247,1159.805,1655.980,980.047,1079.185,1072.918,491.126,831.981,1162.754,1342.713,779.779,1107.672,794.071,995.250,1001.640,1295.134,1326.011,1103.560,2003.354,2143.734,2168.540,1069.176,2657.970,1286.798,1793.568,1309.283,3007.359,904.163,684.364,1001.927,4300.390,3965.374,2205.827,2404.031,3038.696,1877.955,1958.326,1189.198,1567.529,683.945,1753.490,1544.659,2867.111,595.360,641.204,529.963
13,2046.367,4800.667,1723.199,1884.242,1676.287,4750.787,1290.643,1535.306,646.455,623.550,2228.090,1842.456,1438.538,1396.786,1327.443,1675.283,760.091,680.343,1090.730,1330.861,701.351,1014.051,794.659,673.092,855.488,980.169,1238.265,989.872,1353.393,1141.247,986.460,1457.219,2360.801,2127.635,1122.421,1370.705,4342.623,2324.452,1106.142,1916.008,1470.437,1015.612,1959.411,4688.300,2786.424,707.496,978.042,1012.223,1216.923,1755.847,1134.063,1426.257,1155.714,946.352,1156.936,1565.912,3328.659,2573.701,1091.195,1695.664,1196.458,722.223,1307.969,1550.858,1403.911,1149.797,2195.714,1066.959,925.340,1112.729,573.750,1828.980,1486,1086.161,896.104,1265,687.166,774.631,1696.225,1980.204,1227.811,1120.714,2077.276,2723.913,2226.364,2120.472,2254.779,1457.070,1268.867,1109.701,1076.734,1364.290,975.120,1079.462,1357.882,583.881,822.949,1148.696,1274.643,737.186,929.613,877.354,1089.480,1018.688,1168.567,1619.620,960.135,2083.575,2025.362,2132.129,1026.903,2390.316,1112.560,2089.703,1247.825,2774.321,984.578,807.977,917.584,4166.690,3831.529,2422.273,2785.413,2835.296,1920.630,1969.767,1323.868,1299.904,610.239,1586.981,1427.186,2760.758,611.187,625.127,467.205
14,2228.408,5081.428,1933.592,1850.274,1641.353,4462.794,1237.459,1514.381,659.444,601.984,2251.867,1854.794,2018.625,1304.799,1359.595,1817.451,614.195,744.524,1101.851,1351.256,672.297,1065.302,807.644,725.962,969.732,1283.786,1459.196,1029.590,1365.622,1025.193,1214.881,1482.555,2173.854,1890.708,892.114,1411.568,4369.688,2389.008,1270.968,2078.901,1375.684,1161.136,1912.907,4469.092,2627.712,669.562,1042.512,1068.327,1297.832,1385.045,919.520,1267.409,1178.248,946.238,1291.681,1511.812,3382.989,2384.837,909.508,1604.407,1360.692,775.658,1288.394,1477.385,1221.202,969.261,2251.227,1269.577,1118.740,1142.593,345.946,2090.947,1376.451,922.265,820.659,1142.462,859.530,694.638,1285.100,1896.932,1256.748,958.655,2384.037,2219.427,2312.264,2177.764,2386.067,1414.488,1136.283,1046.325,1311.168,1310.490,1088.140,997.328,1198.736,524.161,823.753,1177.297,1645.860,808.143,1021.059,799.141,1171.414,984.312,1291.888,1238.804,945.879,1877.675,2207.427,2241.521,1108.062,2359.707,1184.097,2155.171,1307.508,2709.045,869.578,745.667,756.438,4187.130,3691.639,2093.255,2536.294,2868.930,1986.636,1813.651,1030.390,1528.125,570.204,1379.923,1538.147,3029.856,687.108,550.401,391.237
15,2033.375,4856.420,2148.842,1940.726,1333.309,4170.507,1422.389,1481.388,578.904,712.915,2117.090,2058.382,1993.817,1319.767,1409.378,1600.177,680.610,803.295,1219.362,1395.272,794.419,1016.140,698.370,780.477,1034.325,1079.571,1267.570,1062.467,1210.433,1197.293,923.238,1452.256,2034.544,1948,948.557,1798.356,4447.483,2177.294,1450.490,2157.092,1269.046,997.952,1901.921,4434.854,2660.288,652.117,1050.639,1135.588,1291.200,1408.378,846.551,1399.807,1188.429,897.729,1246.415,1685,3537.923,2504.687,1010.422,1791.053,1228.804,677.767,1417.748,1619.101,1445.573,973.971,2121.059,1441.406,1366.960,1313.017,524.812,1603.200,1422.157,1015.110,983.689,1181.408,724.028,573.482,1652.250,1900.951,1306.385,951.681,1801.706,2305.880,2603.886,1731.913,2524.523,1482.767,1045.620,1196.779,1182.841,1538.290,1017.133,1247.042,1140.536,564.084,717.886,1440.884,1397.860,760.207,998.471,645.758,1430.954,993.368,1298.306,1182.815,953.695,1922.967,2016.648,2616.957,1136.426,2325.421,1164.119,1992.613,1318.942,2723.571,1100.682,782.545,975.460,4188.280,3732.271,2428.891,2518.875,2517.339,1902.558,2046.442,1232.015,1431.125,823.448,1346.827,1692.271,3134.595,670.835,445.605,637.863
16,1823.175,4993.239,1831.265,1984.599,1783.073,4246.456,1411.771,1558.791,576.904,584.659,2012.843,1787.677,2037.856,1134.270,1501.995,1434.611,900.058,803.337,1077.092,1478.172,734.122,1075.463,697.259,725.723,866.537,1414.221,1327.187,1147.092,1396.075,1153.260,1161.778,1763.238,2360.620,2140.590,1075.400,1870.424,4629.983,2364.928,1385.039,1736.481,1395.862,1138.497,1944.543,4193.746,2486.153,516.453,1020.440,977.839,1307.787,1527.180,998.583,1528.269,1112.955,1011.492,1196.457,1959.637,3698.945,2587.415,975.484,1927.549,1300.121,887.834,1293.535,1513.649,1127.048,1286.159,2135.798,1314.114,1306.580,1125.068,494.304,1761.560,1634.889,1074.148,986.511,1314.946,713.934,837.191,1484.833,1909.417,1304.231,1171.168,2154.074,2595.813,2300.650,1927.984,2815.383,1463.775,1411.203,1156.247,1246.752,1433.350,954.933,1096.017,1232.509,563.958,845.146,1216.123,1446.341,677.179,801.908,704.040,1122.750,947.128,1376.455,1437.761,1033.213,2088.010,1892.633,2319.233,1243.557,2726.083,1144.910,2019.189,1111.242,2963.942,960.274,877.083,854.124,4054.050,3736.084,2089.573,2583.637,2621.330,1768.266,1872.946,1100.140,1392.904,726.095,1465.558,1519.574,2765.582,676.525,691.987,577.995
17,1767.100,4715.239,1943.214,1897.083,1772.302,4472.441,1319.376,1737.485,616.242,767.457,2129.157,1815.515,1687.269,1233.321,1612.697,1653.805,841.416,765.006,1000.155,1349.939,712.932,949.919,773.637,890.577,889.520,1136.058,1340.548,1004.918,1306.672,958.740,1129.198,1704.439,2086.380,2176.017,1097.179,1397.349,4277.287,2357.500,1343.903,2082.519,1563.017,1082.415,1948.166,4354.139,2426.203,584.752,927.108,1058.403,1257.213,1514.586,980.465,1391.246,1253.504,881.049,1057.489,1309.450,3059.264,2244.966,1182.961,1965.681,1364.664,754.684,1303.969,1630.372,1426.815,1120.862,2144.160,1269.528,1063.620,1248.093,550.777,1612.893,1686.667,964.529,772.785,1346.315,685.530,726.773,1533.917,2069.020,1394.014,1112.714,1895.982,2701.393,2331.336,2020.157,2314.188,1434.364,1157.593,1053.883,1373.549,1360.360,941.513,977.706,1228.536,582.315,856.829,1079.167,1448.574,606.664,795.437,754.970,1247.007,957.760,1438.209,1389.750,1028.418,2078.986,1975.337,2421.982,1163.131,2377.594,1133.888,1828.946,1120.092,3187.160,973.926,876,921.584,4063.955,4121.503,2379.782,2583.769,2691.104,2014.494,1853.039,1226.184,1610.875,478.174,1469.308,1585.233,3427.373,653.094,592.013,567.937
18,1713.342,4853.391,1818.301,1776.637,1688.427,4640.743,1403.822,1638.015,596.826,712.271,2040.874,1684.713,1853.865,1249.283,1311.546,2021.956,646.195,874.030,1037.385,1368.400,622.784,825.846,691.007,835.438,934.943,1387.227,1476.404,1033.749,1220.070,984.540,1137.095,1829.195,2136.824,2139.899,987.493,1677.909,4372.976,2483.048,1342.839,2132.565,1392.517,980.728,1923.967,4352.885,2369.907,592.912,960.934,1009.147,1222.458,1618.162,850.740,1394.158,1135.992,927.090,1149.702,1744.637,3201.286,2547.912,1003.922,2125,1206.766,863.316,1348.291,1286.034,1397.903,1030.471,2012.286,1264.797,942.590,1018.305,374.562,1751.980,1921.967,886.065,1115.748,1135.185,807.635,806.922,1602.675,2381.874,1441.378,911.412,2242.675,2543.207,2290.943,2164.984,2724.248,1326.031,1486.858,1304.273,1020.911,1410.460,834.293,1183.025,1200.973,591.420,928.791,1201.268,1218.938,717.214,917.109,745.889,1184.625,1023.520,1440.873,1254.989,1181.156,1999.382,2136.985,2077.656,1075.591,2653.962,1285.649,2309.577,1248.708,3057.628,768.081,785.765,931.328,4024.920,3768.348,2132.354,2426.875,3088.783,1735.961,1835.860,1237.919,1587.154,740.503,1496.135,1785.248,3101.771,728.331,506.045,619.558
19,2002.425,4869.507,2176.398,1847.045,1625.919,4607.640,1125.930,1606.478,724.640,711.953,2041.175,1722.978,1512.913,1211.843,1232.281,1702.327,796.357,789.663,1006.075,1367.678,719.392,1162.331,829,752.354,974.675,1214.773,1357.048,1087.400,1263.129,1045.973,1059.437,1596.274,2177.673,1787.455,787.836,1512.773,4271.435,2480.706,1346.523,2163.985,1376.247,986.204,2149.212,4765.777,2527.331,631.628,1059.771,1058.014,1357.587,1742.847,955.520,1386.760,1254.053,850.107,1055.532,1650.375,3115.945,2538.701,1058.273,1946.398,1171.832,728.663,1329.992,1426.014,1408.435,1043.783,2087.605,1195.764,1106.540,1175.492,510.973,1647.667,1785.641,987.406,923.378,1234.161,844.326,660.106,1555.950,2106.107,1220.671,1215.353,1874.485,2623.940,2357.343,2075.433,2447.067,1493.163,1288.655,1052.364,1281.434,1094.690,984.680,1077.479,1259.146,647.266,825.703,1327.355,1250.295,749.729,917.924,664.444,1352.447,963.088,1356.276,1435.935,1060.525,2033.585,2006.874,2169.350,1145.159,2620.143,1176.866,2253.793,1064.833,2789.071,963.904,803.273,903.234,4225.675,3869.084,2704.554,2537.700,3007.070,1884.091,1875.922,1341.493,1383.184,586.920,1359.337,1682.194,2879.046,726.209,483.764,490.568
20,1666.725,5068.942,1805.347,1753.338,1468.250,4585.015,1382.497,1498.157,649.011,643.961,2198.584,2018.618,2198.394,1318.899,1252.108,1818.832,746.123,702.976,1097.730,1489.578,758.649,991.243,721.956,805.062,998.919,1194.506,1489.648,906.067,1489.910,1116.693,1221.675,1474.604,2119.205,1969.388,931.550,1627.917,4082.238,2464.444,1300.536,2010.725,1383.839,1282.517,1906.947,4567.354,2510.119,635.168,732.380,1148.071,1352.387,1687.739,949.622,1502.591,1166.586,987.484,1028.692,1197.912,3870.901,2640.238,943.391,1838.248,1114.654,744.855,1592.094,1391.480,1542.476,988.087,1933.714,1383.626,1165.900,1378.246,730.161,1891.180,1501.725,1145.768,956.719,1409.292,845.829,704.319,1697.267,1923.544,1341.853,1222.899,1972.491,2591.480,2295.414,2112.913,2254.678,1372.566,1272.611,823.065,1232.150,1125.820,1142.173,1100.050,1362.864,659.566,866.158,999.609,1693.062,853.521,684.588,786.202,1171.783,879.872,1070.269,1315.902,911.773,2104.934,2168.126,2353.540,1104.614,2513.752,1098.896,1936.676,1143.700,2914.071,978.504,795.750,895.372,4275.815,3785.645,2352.109,2377.012,3148.635,1743.370,1742.574,1314.882,1618.875,578.224,1615.115,1395.775,3266.693,712.122,533.229,545.347
