 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135,Mean136,Mean137,Mean138,Mean139,Mean140,Mean141,Mean142,Mean143,Mean144,Mean145,Mean146,Mean147,Mean148,Mean149,Mean150,Mean151,Mean152,Mean153,Mean154,Mean155,Mean156
1,2762.579,4764.009,2441.863,2292.248,2672.839,3084.238,4266.838,3028.635,3701.868,2831.367,2492.556,2153.674,1859.458,1946.350,1702.583,2458.446,2223.224,1560.609,1504.430,1142.571,2060.646,1297.143,1431.000,1924.783,3322.811,1787.090,1786.000,1379.361,2460.091,1589.172,1536.274,1271.095,1427.617,1691.026,2274.500,3577.640,1338.561,1305.149,1240.885,1004.531,1385.015,1457.765,1733.949,1947.188,1053.566,1626.064,1338.769,1444.433,795.898,3127.985,2769.469,1111.034,1175.522,1293.661,1811.535,1829.500,1132.067,1332.946,1194.059,1690.288,1112.412,1089.912,1365.336,1214.424,1086.133,842.674,860.427,1347.288,983.228,1462.300,1308.800,1409.130,1400.609,1494.047,2565.641,3537.167,3160.364,1186.577,1004.435,876.490,1137.974,782.123,1027.143,576.957,1175.362,656.672,901.343,755.116,1097.615,1017.202,654.834,1387.109,842.041,291.627,511.147,291.523,696.043,771.727,1000.042,646.712,899.284,658.532,604.753,562.278,356.176,591.477,753.054,1362.615,935.466,969.032,2061.647,1124.029,1284.167,598.712,546.426,706.160,839.245,841.347,1565.547,788.148,771.685,786.931,824.577,532.943,516.488,597.371,646.603,876.274,596.970,784.205,1530.186,790.971,529.867,619.010,1025.870,863.173,820.379,1069.347,800.371,828.500,1162.809,876.000,1276.713,953.533,939.083,1018.106,1033.917,781.351,1177.380,372.023,437.282,671.970,658.000,1173.467,664.631,437.618
2,3215.395,4732.658,2808.116,2384.643,3054.856,3509.877,4504.382,3016.027,3657.224,2711.388,2614.097,2104.579,2181.449,2435.778,2182.283,2890.604,2152.151,1374.195,1359.514,1513.676,1925.229,1384.125,1390.787,2406.554,3391.176,1815.197,2030.840,1618.194,2608.974,1490.391,1473.973,1446.679,1857.064,1174.684,2127.633,3149.707,1233.073,1110.000,1121.910,1078.297,1305.471,1472.823,1636.321,1799.522,989.148,1480.596,1317.725,1653.156,949.972,3251.221,3629.172,1175.966,1198.587,1587.857,1820.116,1651.619,779.933,1393.464,1117.847,1617.530,1262.863,1430.588,1295.148,1222.606,1238.276,821.400,1088.073,1352.692,1054.772,1423.943,1123.250,1784.796,1486.130,1804.465,2962.308,2564.928,3148.705,1284.279,1055.924,752.137,1058.618,840.397,1068.614,512.457,989.362,798.836,910.737,881.535,1171.077,1058.872,603.738,1362.601,926.857,268.127,502.586,323.011,710.845,980.055,1044.769,787.432,875.917,719.532,657.010,647.586,511.264,642.596,745.796,1323.587,893.767,1109.192,2280.000,1127.000,1179.183,692.548,553.913,639.934,887.569,870.694,1897.387,751.887,764.467,643.353,744.000,597.886,585.930,833.771,645.853,924.671,531.505,715.836,1524.512,805.108,470.833,671.871,1069.348,827.745,905.146,1238.181,752.414,673.679,1107.927,1190.430,1124.575,974.693,974.417,1062.594,1130.053,746.527,1174.282,534.239,615.359,739.560,810.773,1238.117,668.690,395.483
3,3228.974,4721.207,2730.884,2396.109,3015.398,3387.771,4383.015,3025.000,4030.724,2719.755,2547.210,2101.653,2007.339,2119.940,2332.192,2596.772,2576.480,1541.310,1590.206,1576.133,2140.646,1319.857,1647.553,2034.566,3128.635,1708.303,2099.850,1870.907,3154.000,1592.448,1352.055,1261.190,1745.043,1567.289,2845.617,3446.360,1391.171,1645.243,1315.038,980.109,1230.912,1680.206,1631.115,1963.580,1253.943,1599.853,1502.055,1755.689,905.815,3330.368,3666.641,1151.169,1320.348,1451.286,2029.302,2187.286,1128.350,1362.232,1325.835,1409.879,1359.775,1381.073,1386.000,1009.172,1223.061,859.484,1039.760,1075.192,1043.898,1536.500,1591.183,1609.907,1334.978,1484.163,2653.872,2866.000,3009.136,1211.153,1212.609,834.333,862.447,1133.438,1109.186,642.085,1296.536,866.115,801.495,796.640,1096.569,1176.138,669.138,1301.754,887.109,343.791,627.836,333.330,585.224,807.336,1040.168,756.458,746.651,791.647,635.852,643.496,466.776,554.073,771.032,1523.192,1036.165,1159.160,2191.729,1402.478,1283.867,556.904,519.583,560.623,880.343,954.182,1461.708,949.049,621.467,841.814,680.106,551.400,513.938,849.014,731.051,897.959,666.151,809.107,1576.419,928.059,583.800,819.812,1078.270,805.561,1093.592,1445.778,803.757,902.774,1090.456,1121.301,1035.287,863.307,1142.817,1145.837,1137.735,702.487,1122.986,548.659,545.282,708.790,815.773,1287.517,787.381,416.236
4,2960.040,4993.640,2681.610,2537.078,3088.813,3470.467,4623.015,3234.568,3967.395,2912.204,2704.855,2158.937,2083.085,1859.991,2141.383,2609.693,2386.276,1668.483,1671.654,1526.590,2312.771,1490.589,1466.787,2449.928,3503.770,1902.377,2221.430,1829.278,2983.117,1603.667,1376.370,1378.976,1471.255,1536.368,2540.617,3422.920,1390.793,1208.135,1288.833,957.719,1045.427,1555.868,1668.321,1927.652,1435.959,1776.000,1525.121,1801.011,919.120,3811.471,3493.781,1148.153,1151.815,1708.732,2443.140,1877.714,920.683,1496.839,974.471,1650.197,1397.088,1190.221,1368.228,1324.010,1205.694,988.389,1131.823,1529.404,1084.142,1369.543,1205.567,1508.519,1531.435,1416.558,3060.128,3218.619,2739.682,1380.387,930.283,927.020,1242.697,1043.370,1175.643,614.713,1075.333,846.885,1013.556,850.372,1191.877,1050.585,783.110,1393.667,880.714,314.436,596.000,309.716,636.353,889.536,1253.112,792.593,936.642,696.554,694.386,753.805,484.752,624.156,613.570,1367.702,955.262,1283.660,2241.071,1224.275,1239.667,673.375,578.122,554.528,890.745,794.322,1861.575,812.859,746.239,584.167,626.106,509.836,565.566,766.543,738.559,924.747,709.404,685.033,1527.465,633.971,662.217,574.257,1476.452,1008.531,1075.243,1287.903,657.129,846.321,1196.809,1057.538,1321.218,1090.773,970.500,1289.569,1130.773,666.770,985.620,632.932,519.342,813.730,922.260,1517.467,793.345,574.551
5,3141.118,5141.063,2461.610,2845.008,2976.924,3453.803,5048.721,3262.594,3742.040,2869.051,2570.548,2202.726,2132.941,2228.872,2301.183,2919.881,2643.724,1141.253,1556.897,1352.467,2013.271,1966.214,1537.745,2546.747,3863.013,1944.295,2274.440,1712.407,3097.195,1858.057,1445.630,1422.250,1444.574,1656.026,2265.267,3851.947,1570.049,1376.959,1349.936,1050.531,1572.544,1407.235,1572.987,1830.696,1091.967,1867.422,1449.868,1728.456,999.713,3626.353,3497.734,1053.390,1332.565,1691.071,1347.767,2234.072,921.133,1706.929,1507.718,1593.500,1385.925,1124.912,1436.262,1264.747,1261.337,985.189,1020.802,1257.442,1148.921,1288.171,1636.983,1597.463,1685.370,1790.163,2955.897,2886.619,2945.477,1320.459,988.478,1229.784,1308.934,1061.110,1158.871,630.915,1342.681,784.951,989.111,812.930,1096.200,1085.277,825.579,1421.833,914.435,272.627,617.129,315.864,811.405,842.073,999.678,831.703,1031.193,743.885,621.168,743.211,518.248,503.202,792.871,1278.308,1218.951,1155.734,2672.447,1467.246,1044.983,687.529,696.391,723.217,1064.255,841.694,1979.840,841.641,615.250,623.225,636.854,622.550,617.163,859.050,704.941,980.479,689.697,885.762,1888.605,748.510,805.217,833.356,1298.357,1055.704,1130.437,1269.028,756.514,807.393,1292.118,1187.269,1349.770,1111.260,1117.533,1205.447,1157.864,752.838,1129.422,651.125,687.564,757.890,716.328,1664.325,785.988,438.506
6,3058.605,5133.271,2676.767,2826.860,2806.000,3615.992,4563.309,3330.324,4200.237,2929.572,2660.395,2148.926,2065.966,2202.393,2295.775,2862.158,2405.553,1516.632,1655.327,1499.857,1901.646,1302.161,1564.298,2531.988,3579.676,1764.934,2406.220,1922.796,2685.688,1861.391,1516.767,1302.655,1715.745,1325.500,2312.167,3471.733,1450.549,1095.257,1223.346,838.047,1566.618,1151.118,1524.859,1937.927,1248.188,1506.339,1396.440,1552.700,979.204,3482.662,3136.453,1381.169,1201.511,1552.446,1951.023,1911.833,1048.633,1214.107,1382.365,1482.333,1307.512,1533.941,1320.074,1139.485,1251.082,1036.737,1269.771,1297.077,1178.567,1205.686,1592.950,1536.074,1379.326,1883.512,2881.359,2955.452,2921.273,1359.820,1098.870,1259.578,1068.237,985.068,1108.214,622.723,1054.696,747.656,993.545,799.872,1150.908,1080.606,827.972,1762.978,984.490,328.827,770.672,386.568,642.034,826.800,1101.706,942.034,911.761,630.504,866.455,712.436,523.120,589.284,713.355,1708.471,1006.087,1537.543,2478.953,1531.870,1344.450,703.519,517.652,673.953,1244.039,874.438,2017.717,920.634,734.978,685.559,665.610,563.079,520.628,963.507,694.169,1016.452,715.596,831.369,2071.698,827.980,685.633,697.267,1128.122,928.449,942.107,1264.972,786.471,914.488,1295.177,1156.161,1230.667,1014.420,1039.000,1248.667,1060.515,849.649,1044.141,605.886,513.299,745.630,804.605,1385.108,647.738,412.888
7,3474.342,4974.739,2520.582,2593.853,3216.720,3800.779,4468.206,3238.527,4077.105,3234.082,2619.661,2221.505,2449.195,2185.214,2412.258,2760.178,2630.849,1428.713,1733.692,1416.200,2222.667,1561.214,1530.798,2575.542,3499.946,1784.066,2088.300,2107.444,2953.325,1877.793,1411.507,1140.214,1973.277,2145.184,2471.517,3750.693,1449.281,1565.297,1251.821,1232.141,1486.765,1612.779,1754.282,2189.971,1155.639,1761.973,1633.923,1882.400,1001.722,3683.073,3893.453,1348.915,1340.402,1753.750,2108.093,1754.357,1072.200,1648.589,1128.259,1524.061,1303.550,1580.147,1253.409,1303.838,1233.918,837.274,1153.312,1311.481,1178.181,1603.614,1399.167,1284.981,1531.630,1742.116,2633.128,3242.405,3095.523,1318.495,951.891,1007.451,1352.013,1024.356,936.286,629.734,1149.797,800.049,849.960,895.721,1339.692,1136.660,551.034,1465.884,1015.980,255.982,675.672,487.932,655.888,882.282,1056.301,740.610,1077.789,791.101,668.842,750.767,466.240,698.000,772.634,1350.327,842.835,1101.426,2449.035,1270.725,1200.417,667.760,580.791,622.198,982.922,865.628,1650.189,1066.578,691.620,621.951,780.715,645.521,652.101,859.279,623.250,786.959,677.737,744.434,1817.419,693.892,619.700,942.436,1096.165,885.806,956.388,1580.458,764.071,869.060,1220.544,950.043,1489.011,1150.027,1024.217,1307.878,1129.712,988.068,1196.972,402.818,611.214,773.750,849.748,1386.308,708.512,446.449
8,3540.250,5173.829,2731.843,2532.054,3149.212,3696.885,4488.059,3230.527,4181.474,2844.765,2925.444,2178.516,1922.212,2245.077,2177.617,2901.881,2362.342,1520.000,1670.776,1394.829,2014.333,1579.857,1581.266,2320.976,3696.365,1815.680,1993.830,1871.287,2974.403,1952.414,1697.740,1340.845,1628.383,1433.474,2366.500,3365.600,1285.183,1163.068,1496.897,1020.266,1511.544,1665.073,1286.167,1889.246,1175.172,1632.569,1498.505,1860.400,980.556,3042.485,3407.391,1299.881,1124.076,1599.196,1667.163,1783.667,1050.700,1495.161,1362.071,1670.939,1508.000,1457.368,1411.342,1109.566,1334.071,874.305,1200.719,1405.750,988.528,1343.914,1564.150,1551.352,1374.413,1960.953,2715.026,2962.833,2510.955,1366.117,1107.402,981.833,986.421,1220.082,911.729,614.085,1151.667,960.754,1071.667,812.291,1154.831,1138.160,817.338,1490.138,959.884,319.582,593.121,362.886,616.966,763.318,1144.608,825.458,849.743,774.640,730.010,935.466,528.632,515.092,624.183,1760.875,1065.175,1112.532,2297.965,1412.667,1536.100,849.760,517.330,685.292,891.833,937.124,1843.170,898.254,805.196,720.549,704.065,714.529,687.682,781.186,734.346,1222.842,717.545,799.066,1591.395,807.882,679.717,566.208,1044.922,1031.643,976.553,1360.764,778.029,791.417,1136.118,1037.323,1494.655,1074.800,1283.400,1128.447,1244.424,799.865,1085.155,451.375,606.171,983.260,712.168,1297.833,790.262,445.371
9,3077.303,5343.171,2661.185,2433.535,3097.220,3567.680,4496.471,3593.054,3749.803,2588.816,2551.492,2198.168,2127.687,2171.872,2435.167,2809.634,2518.947,1312.184,1514.906,1300.200,1950.583,1535.750,1785.521,2261.193,3540.149,1812.893,2222.800,1793.046,3371.572,1980.874,1747.096,1269.643,1695.362,1929.132,2570.283,3824.960,1232.512,1248.824,1447.346,1280.844,1434.088,1804.691,1500.923,1806.333,1266.918,1812.367,1398.945,1653.911,849.593,3597.235,3386.641,1225.000,1506.652,1279.393,1811.698,2118.428,927.100,1670.732,1494.035,1720.151,1228.725,1275.177,1200.671,1183.263,1245.020,801.116,944.167,1135.788,1152.969,1689.686,1604.433,1417.537,1904.478,1372.209,2643.949,3555.167,2726.705,1309.414,1010.185,927.912,1208.145,932.027,1060.929,699.213,1125.927,780.574,889.222,959.907,1258.831,1248.106,571.186,1385.442,955.810,361.491,505.612,414.205,532.526,834.927,986.189,940.161,1061.908,763.971,789.792,795.383,632.432,743.422,805.710,1646.010,1202.146,1560.596,2308.129,1235.116,1541.950,654.798,607.617,623.651,1056.167,849.388,1995.877,932.845,710.880,725.529,668.911,622.157,569.085,860.043,696.434,962.788,676.515,940.418,1705.465,640.010,552.283,705.376,1215.783,932.153,1164.893,1309.069,676.457,702.774,1165.632,1044.065,1380.575,951.827,1020.717,1277.650,1043.962,777.135,1059.789,521.909,698.949,696.050,858.336,1275.083,855.619,337.966
10,3087.092,5232.405,2679.404,2655.643,3436.144,3752.590,4274.279,3499.581,4267.079,2732.235,2479.121,2129.432,2310.373,2376.077,2447.225,2912.713,2368.349,1435.437,1566.346,1424.448,1805.729,1336.857,1928.064,2366.916,3882.419,1830.664,1965.300,1744.741,2856.195,1704.184,1338.082,1480.821,1953.085,1609.000,2340.467,3582.520,1379.293,1368.432,1119.423,938.281,1486.721,1408.427,1723.962,1755.348,1264.885,2030.101,1091.495,1527.622,956.472,3301.044,3655.984,1323.983,1426.674,1756.232,1947.674,2406.357,1024.833,1378.732,1401.929,1854.000,1345.412,1221.721,1409.644,1283.242,1175.286,872.242,1125.990,1806.635,915.654,1340.714,1335.883,1718.315,2141.826,1542.116,2822.026,2717.381,2782.000,1297.838,1225.630,940.892,914.908,1074.726,1347.400,728.809,1203.609,1074.361,920.202,585.430,1115.738,1125.245,741.166,1701.710,1083.320,311.364,613.664,322.352,634.655,974.773,1107.469,748.915,784.092,684.719,697.842,815.609,535.568,533.734,687.925,1538.779,1062.563,1257.734,2657.000,1308.116,1563.467,637.615,636.296,658.651,1063.265,1107.603,1951.208,913.908,625.989,791.010,673.959,627.707,536.302,808.221,821.581,1038.130,688.374,840.803,1897.419,820.667,704.317,780.792,1099.296,863.163,1113.767,1421.931,870.829,930.607,1043.397,1209.731,1375.471,1083.180,1414.800,1160.236,1039.401,862.905,1279.944,453.932,591.470,813.610,824.613,1537.308,791.690,550.101
11,3738.526,5296.423,2986.062,2867.109,3159.110,3749.164,4462.074,3404.378,3648.408,3128.602,2543.048,1919.663,2266.610,2168.043,2367.650,3015.644,2606.263,1390.563,1566.664,1334.876,1731.646,1723.000,1564.383,2507.952,3522.541,2116.959,2173.030,1754.556,3175.338,1813.218,1344.466,1216.488,1611.979,1493.684,2550.267,3951.880,1536.415,1485.203,1430.205,978.469,1807.015,1306.912,1422.282,1962.580,1152.803,1500.670,1400.835,1557.767,944.204,3304.603,2922.641,1237.881,1421.728,1804.500,2268.767,2241.667,936.783,1360.750,1389.682,1370.818,1338.188,1322.235,1413.987,1015.727,1382.531,910.337,1019.094,1305.462,1079.819,1594.943,1400.183,1894.407,1537.739,1695.698,2655.231,2530.738,3038.886,1424.631,977.891,948.039,1218.803,1174.288,1057.943,812.457,1101.826,775.738,972.151,751.547,1103.046,1079.745,768.352,1548.565,924.891,293.418,612.026,463.545,763.612,827.336,1149.727,900.288,807.440,819.475,852.634,793.767,592.480,489.587,842.387,1422.952,970.913,1455.011,2600.118,1322.087,1488.500,651.788,604.774,709.509,1102.657,897.372,2089.934,896.775,636.924,798.353,668.528,610.100,547.426,920.186,721.875,953.938,564.374,825.713,1811.140,652.539,650.133,847.545,1228.026,805.051,1111.777,1559.153,833.300,843.810,1005.956,1174.882,1378.782,1147.080,1228.750,1193.667,1153.856,924.446,1273.211,525.477,817.915,752.030,690.857,1339.258,972.036,503.112
12,3043.434,5096.099,2755.301,2592.357,3102.653,3686.697,4378.235,3156.649,3982.868,3309.979,2706.387,2264.453,2490.610,2433.633,2211.692,2551.446,2229.375,1502.241,1600.972,1349.714,1805.958,1498.571,1680.670,2215.446,3519.432,1925.229,2183.630,1965.935,2597.766,1951.161,1348.123,1233.798,1630.383,1783.711,2093.733,3650.813,1583.890,1183.324,1222.872,996.781,1872.573,1625.412,1599.679,1891.391,1291.623,1632.450,1354.912,1715.622,1051.046,3771.573,3671.172,1261.424,1443.848,1653.179,1979.070,2076.810,1280.300,1627.071,1610.153,1818.939,1411.975,1554.838,1527.409,979.434,1111.735,993.768,1332.615,1542.269,1162.717,1432.386,1414.167,1617.500,1546.022,1481.140,2793.615,3477.405,2989.886,1393.730,1142.054,1265.716,1248.092,818.507,1118.771,892.223,1201.073,808.803,819.242,659.698,1478.969,1110.840,794.821,1192.942,921.150,268.700,639.103,312.523,770.138,916.836,1090.448,750.059,851.706,663.597,774.347,890.466,457.144,568.560,654.591,1501.125,959.447,1168.681,2290.259,1395.058,1294.783,738.404,476.565,636.094,981.167,838.752,1878.802,906.486,654.967,715.657,759.098,642.129,598.674,949.800,688.632,980.164,656.151,736.189,1636.930,704.255,569.550,810.000,1204.539,791.592,930.233,1259.903,741.500,908.000,1193.294,1165.667,1419.103,1092.073,1146.900,1270.667,1115.492,662.919,1254.225,587.205,537.308,836.780,726.286,1188.625,728.667,468.787
13,3345.855,5215.271,2783.582,2462.318,3082.932,3568.959,4992.603,3266.865,3586.158,2788.286,2660.492,2381.958,1848.712,2396.333,2627.742,2909.366,2549.829,1428.667,1492.598,1298.733,1849.792,1543.375,1628.670,2207.578,3728.324,1812.336,2393.140,2089.426,3130.403,1676.954,1829.452,1447.202,1832.979,1700.316,2263.700,3650.160,1329.415,1277.068,1576.795,1083.016,1731.073,1439.368,1713.308,2001.188,1214.713,1758.147,1532.824,1905.733,957.130,3305.397,3520.328,1309.949,1353.891,1781.518,1606.442,1914.476,1018.900,1693.089,1397.306,1640.667,1293.725,1667.971,1415.268,1340.040,1074.857,1166.779,1198.615,1176.635,1034.402,1825.243,1529.950,1407.519,1418.826,1741.186,2892.205,3257.524,2706.705,1448.802,1033.130,909.637,1078.961,1253.329,964.486,687.213,1051.652,733.607,949.960,910.581,1231.492,1140.394,732.303,1495.739,917.048,290.645,637.103,300.477,626.543,851.364,1087.154,919.203,815.431,698.525,885.010,812.714,491.760,521.266,831.968,1345.375,959.408,1448.596,2497.659,1362.101,1208.783,769.356,645.443,607.755,1088.265,992.595,1761.981,792.563,621.380,741.118,576.626,701.257,569.186,773.336,648.794,1100.308,562.081,767.623,1617.116,592.980,577.500,904.426,1299.557,937.918,1028.068,1295.556,825.214,1054.583,1230.162,1413.935,1380.494,1140.180,1114.617,1297.252,1132.803,827.459,1067.972,500.420,650.462,844.190,702.798,1275.342,643.655,457.236
14,3396.276,5488.829,2950.657,2635.163,3112.093,4001.221,4736.647,3413.919,3721.000,2786.347,2770.290,2466.063,2225.737,2262.137,2311.708,2689.346,2545.316,1686.494,1574.094,1704.857,1851.021,1440.036,1927.117,2540.867,3497.446,1855.787,2466.860,1757.111,3042.896,2021.253,1606.425,1544.452,1961.660,1612.658,2547.333,3740.133,1328.244,1095.959,1313.923,1232.453,1442.823,1673.368,1653.449,2285.391,1283.664,1952.514,1679.692,1829.900,898.565,3103.441,3546.375,1495.305,1262.707,1571.839,1893.209,2319.500,1039.883,1703.536,1353.647,1462.136,1080.088,1455.000,1517.899,1132.424,1049.245,811.947,1167.323,1149.385,1021.535,1347.286,1530.067,1352.426,1409.717,1389.209,2829.846,3109.928,2773.727,1124.531,1122.728,770.431,1182.079,920.849,1166.814,774.798,1149.725,721.131,1096.818,800.884,1228.108,1159.521,818.455,1480.377,1073.524,273.464,684.353,385.409,747.621,935.736,1214.189,900.856,827.761,761.496,771.802,703.699,586.776,644.523,739.903,1314.490,1064.981,1169.894,2724.459,1255.870,1436.750,710.827,603.704,710.566,982.882,928.174,1793.132,862.915,698.413,852.216,668.065,737.329,682.047,848.450,667.846,1042.288,579.172,966.926,1780.767,770.196,878.050,735.535,1091.183,777.745,1073.573,1524.333,618.871,811.714,1237.221,967.828,1465.379,1050.973,1107.900,1279.228,1021.000,806.149,988.761,548.489,728.188,679.360,821.437,1322.000,913.024,464.697
15,3199.553,5366.676,2691.623,2609.171,3374.119,3574.959,3892.044,3221.851,3396.671,2585.010,2541.952,1974.853,1744.212,2259.419,2530.150,2771.525,2497.816,1563.816,1710.570,1359.562,1919.875,1591.036,1576.755,2682.615,3453.068,2007.861,2204.840,1749.657,3077.351,2215.299,1683.233,1289.262,1512.936,1772.500,2469.433,4193.013,1418.171,1456.824,1506.026,999.344,1740.456,1621.191,1736.756,1612.652,1174.320,1856.431,1533.363,1713.611,1075.602,3547.147,3300.656,1434.271,1388.554,1796.571,1718.349,2014.190,1039.567,1653.161,1137.635,1701.712,1194.625,1474.721,1382.537,1222.657,998.245,867.253,1011.875,1151.288,1198.701,1303.657,1867.033,1317.907,1816.717,1688.674,2835.308,3333.762,2714.955,1426.892,1115.957,1065.706,1235.145,685.452,1175.386,786.489,1265.290,869.082,1140.737,908.395,1544.015,1114.202,752.207,1389.007,932.095,404.755,471.216,418.875,646.931,962.182,1014.545,761.203,894.982,769.072,754.614,789.226,500.264,671.339,628.570,1527.260,1189.981,1227.543,2116.235,1320.551,1688.133,860.933,522.583,674.104,1017.422,984.967,1847.396,906.394,596.891,742.265,697.423,785.000,583.078,974.914,653.265,1038.527,768.626,764.090,1787.209,831.461,441.417,718.733,1093.217,1066.500,963.680,1597.819,770.314,916.833,1121.471,1194.355,1227.667,1175.200,995.533,1271.968,1126.136,850.095,1216.352,552.989,682.633,817.290,730.756,1513.450,884.179,436.270
16,3196.566,5124.676,2726.870,2484.984,2812.890,3614.443,3855.691,3856.973,3580.000,3471.898,2551.242,2198.389,2126.203,2611.880,2461.800,2374.980,2523.046,1480.782,1698.598,1330.314,1413.208,1650.357,1609.011,2649.458,3453.500,1933.451,2178.400,1724.963,2876.753,1729.920,1555.890,1442.714,1852.957,2136.421,2145.100,3995.227,1142.854,1209.635,1464.013,1139.984,1334.279,1563.912,1696.962,2148.696,1283.352,1696.294,1267.780,1963.933,830.315,3599.632,3203.312,1515.203,1166.837,1725.893,1546.349,2107.667,1046.150,1085.107,1309.494,1600.333,1510.150,1534.073,1383.852,1135.939,1068.245,1011.968,1268.802,1269.192,1132.378,1506.329,1334.833,1604.648,1494.804,1838.558,2769.897,3066.786,2906.773,1233.216,933.609,1021.333,1338.724,980.055,1232.200,725.553,1061.681,799.623,899.929,752.988,1009.400,1245.702,794.483,1603.609,905.959,261.136,522.569,421.057,636.672,818.718,1256.126,1030.805,937.422,677.101,596.277,836.594,573.864,594.972,808.419,1630.971,928.010,1267.160,2568.023,1686.841,1349.850,767.913,714.104,644.076,903.363,870.157,1905.434,848.585,536.696,764.500,591.748,618.521,456.171,879.529,600.662,1088.678,527.919,855.541,1869.674,703.598,591.517,734.564,1163.165,1037.755,1025.903,1291.931,824.400,825.857,1182.029,1122.516,1478.943,1065.213,1126.817,1377.715,1140.265,850.081,1226.676,473.489,720.479,625.010,728.361,1570.492,797.881,519.820
17,2767.447,4931.919,2798.267,2877.891,3014.500,3609.336,4202.529,3748.432,4284.829,3333.235,2715.266,2299.969,2189.042,2390.846,2530.033,2464.723,2706.480,1259.448,1960.336,1329.933,1822.062,1771.071,1809.021,2185.325,3633.351,1820.852,2564.320,1933.519,3066.818,1878.517,1454.904,1372.107,1496.787,1947.895,2115.367,3496.547,1517.024,1466.351,1349.449,1360.250,1619.427,1707.191,1574.321,1605.362,1364.812,1761.367,1417.198,1854.522,747.287,3099.897,3237.938,1250.373,1310.630,1725.054,1968.884,2323.786,1114.233,1664.232,1284.918,1424.136,1324.162,1225.103,1561.013,1049.343,1260.888,1000.305,1336.646,1341.615,954.740,1310.371,1247.517,1744.315,1584.130,1916.442,2175.590,2666.000,3161.023,1249.730,1151.054,1025.608,1121.079,953.356,1039.943,870.021,1343.899,666.377,852.283,948.116,995.185,1423.989,613.007,1532.551,932.252,366.018,545.560,314.818,579.741,713.664,1058.469,805.653,803.330,675.676,657.564,666.278,601.768,566.642,882.086,1572.779,964.573,1135.383,2122.129,1122.073,1575.833,718.808,685.661,610.585,911.588,832.876,1818.500,909.437,579.598,724.373,750.545,591.800,603.039,871.879,643.346,1037.863,740.293,731.328,1630.233,654.078,584.033,711.960,1339.687,924.092,1077.796,1151.097,785.500,886.345,949.985,1174.559,1254.701,1115.167,976.833,1302.846,976.174,807.784,1166.535,482.682,681.154,802.100,740.546,1253.083,752.940,498.629
18,3067.026,5098.955,2740.192,2593.062,3287.661,3714.246,4258.603,3518.406,3728.868,3143.418,2652.492,2214.737,2398.763,2125.162,2239.717,2803.584,2537.809,1141.931,1592.561,1473.238,1922.625,1520.482,1456.489,2421.976,3659.500,1838.688,2295.370,2082.370,2809.416,1825.529,1720.137,1512.976,1681.426,1922.079,2385.217,3576.693,1328.500,1424.419,1467.487,1074.891,1367.441,1629.000,1596.090,2008.580,1404.566,1833.761,1607.637,1629.633,860.046,3381.941,3828.781,1291.746,1325.272,1804.018,1662.744,2247.167,1248.517,1401.054,1187.965,1695.394,1293.537,1376.000,1387.336,1157.384,1359.398,999.463,1441.542,1568.423,1048.441,1360.257,1631.983,1440.593,1717.239,1976.860,2912.718,2704.095,3270.568,1180.369,997.565,950.637,1253.421,938.521,1054.429,638.713,1270.667,779.508,794.727,857.209,1412.769,1184.574,667.655,1676.239,1040.816,262.345,575.319,293.364,762.086,860.282,1051.853,770.644,988.624,731.568,784.941,829.872,511.624,645.725,541.398,1577.231,1010.126,1282.766,2543.047,1396.217,1490.150,756.433,568.330,520.991,1021.618,914.479,1821.557,932.479,577.283,686.412,815.886,584.929,673.341,830.957,749.654,1083.473,722.697,838.820,1818.953,761.873,472.600,891.168,1265.409,907.918,1031.456,1510.014,889.171,862.452,1245.485,1189.366,1301.207,924.920,924.950,1206.707,1091.833,843.500,1068.732,515.943,478.487,826.380,772.950,1232.250,956.262,498.022
